rgz_name,name,name:rs,name:it,name:hu,loc_name,name:etymology:wikidata
Epulonova ulica - Via Epulo,Epulonova ulica,,Via Epulo,,,Q80707
Eufrazijeva,Eufrazijeva ulica,,Via Eufrasio,,,Q20525231
Eugena Kumičića,Ulica Eugena Kumičića,,Via Eugen Kumičić,,,Q697786
Eugena Kvaternika,Ulica Eugena Kvaternika,,,,,Q701626
Facchinettijeva ul. - Via Antonio Facchinetti,Facchinettijeva ul.,,Via Antonio Facchinetti,,,
Fakini - Facchini,Fakini,,Facchini,,,
Farnažine - Farnasine,Farnažine,,Farnasine,,,
Fatrica - Fatrizza,Fatrica,,Fatrizza,,,
Faverijska ulica - Via Faveria,Faverijska ulica,,Via Faveria,,,
Fažanska cesta - Via Fasana,Fažanska cesta,,Via Fasana,,,
Fažanska cesta-Valb.,Fažanska cesta,,Via Fasana,,,
Fažanska ulica - Via Fasana,Fažanska ulica,,Via Fasana,,,
Fermići - Fermici,Fermići,,Fermici,,,
Fernetići - Fernetici,Fernetići,,Fernetici,,,
Filarija - Filaria,Filarija,,Filaria,,,
Fiorini - Fiorini,Fiorini,,Fiorini,,,
Flaciusova ulica - Via Mattia Flaccio,Flaciusova ulica,,Via Mattia Flaccio,,,
Flanatička ulica - Via Flanatica,Flanatička ulica,,Via Flanatica,,,
Flavijevska ulica - Via Flavia,Flavijevska ulica,,Via Flavia,,,
Flegi - Fleghi,Flegi,,Fleghi,,,
Flegova ulica - Via Frane Flego,Flegova ulica,,Via Frane Flego,,,
Fontera - Fontera,Fontera,,Fontera,,,
Fontička ulica - Via del Fondaco,Fontička ulica,,Via del Fondaco,,,
Forum - Forum,Forum,,Forum,,,
Foškići - Foschici,Foškići,,Foschici,,,
Franca Prešerna,Ulica Franceta Prešerna,,Via France Prešern,,,Q1031
Frančeskija - Franceschia,Frančeskija,,Franceschia,,,
Franci - Franzi,Franci,,Franzi,,,
Frančići - Francici,Frančići,,Francici,,,
Frane Glavinića,Ulica Franje Glavinića,,Via Franjo Glavinić,,,Q20525478
Fratrici - Fratrizzi,Fratrici,,Fratrizzi,,,
Fratrija - Fratria,Fratrija,,Fratria,,,
Frleti - Ferletti,Frleti,,Ferletti,,,
Funtana - Funtana,Funtana,,Funtana,,,
Furlanski prilaz - Via dei Furlani,Furlanski prilaz,,Via dei Furlani,,,
Fuškulin - Foscolino,Fuškulin,,Foscolino,,,
Gadari - Gadari,Gadari,,Gadari,,,
Gajeva ulica - Via Ljudevit Gaj,Gajeva ulica,,Via Ljudevit Gaj,,,Q352617
Galići - Galici,Galići,,Galici,,,
Galijotska ulica - Via dei Galeotti,Galijotska ulica,,Via dei Galeotti,,,
Galižanska cesta - Via Gallesano,Galižanska cesta,,Via Gallesano,,,
Galižanski odvojak - Via Gallesano,Galižanski odvojak,,Via Gallesano,,,
Gamboci - Gambozzi,Gamboci,,Gambozzi,,,
Gambocija - Gambozzia,Gambocija,,Gambozzia,,,
Garbina - Garbina,Garbina,,Garbina,,,
Garibaldijeva ulica - Via Garibaldi,Garibaldijeva ulica,,Via Garibaldi,,,
Garzottijeva ulica - Via Garzotto,Garzottijeva ulica,,Via Garzotto,,,
Gašpara Kalčića,Ulica Gašpara Kalčića,,Via Gašpar Kalčić,,,
Gervaisova ulica - Via Drago Gervais,Gervaisova ulica,,Via Drago Gervais,,,
Get - Ghetto,Get,,Ghetto,,,
Giardini - Giardini,Giardini,,Giardini,,,
Gimnastička,Gimnastička ulica,,Via della ginnastica,,,
Ginzkeyeva ulica - Via Franz Karl Ginzkey,Ginzkeyeva ulica,,Via Franz Karl Ginzkey,,,
Gladijatorska ulica - Via dei Gladiatori,Gladijatorska ulica,,Via dei Gladiatori,,,
Glagoljaška ulica,Glagoljaška ulica,,Via del Glagolitico,,,
Glavači - Gardossi,Glavači,,Gardossi,,,
Glavica - Glavizza,Glavica,,Glavizza,,,
Glavice - Glavizze,Glavice,,Glavizze,,,
Glavinićev uspon - Clivo Franjo Glavinić,Glavinićev uspon,,Clivo Franjo Glavinić,,,Q20525478
Glavna ulica - Via Maestra,Glavna ulica,,Via Maestra,,,
Gočanska ulica - Via Golzana,Gočanska ulica,,Via Golzana,,,
Goli vrh - Monte Nudo,Goli vrh,,Monte Nudo,,,
Golubići - Golubici,Golubići,,Golubici,,,
Gopci - Gobzi,Gopci,,Gobzi,,,
Goranska ulica - Via Gorski kotar,Goranska ulica,,Via Gorski kotar,,,
Gorjani - Goriani,Gorjani,,Goriani,,,
Gornja Gomila - Gomila superiore,Gornja Gomila,,Gomila superiore,,,
Gornje Baredine - Baredine di Sopra,Gornje Baredine,,Baredine di Sopra,,,
Gornji Babići - Babici di Sopra,Gornji Babići,,Babici di Sopra,,,
Gornji Picudo - Pizzudo di Sopra,Gornji Picudo,,Pizzudo di Sopra,,,
Gornji Špadići,Gornji Špadići,,Via Rato de Spada,,,
Gornji Srbani - Serbani di Sopra,Gornji Srbani,,Serbani di Sopra,,,
Gortanova ulica - Via Vladimir Gortan,Gortanova ulica,,Via Vladimir Gortan,,,Q347277
Gospodarska - Via dell' Imprenditoria,Gospodarska,,Via dell' Imprenditoria,,,
Gradinje - Gradigne,Gradinje,,Gradigne,,,
Gradinski uspon - Clivo del castelliere,Gradinski uspon,,Clivo del castelliere,,,
Greblova ulica - Via Šimun Greblo,Greblova ulica,,Via Šimun Greblo,,,
Gregovo III,Gregovo III,,,,,
Grguri - Gherguri,Grguri,,Gherguri,,,
Grisia - Grisia,Grisia,,Grisia,,,
Grmunija - Gremonia,Grmunija,,Gremonia,,,
Grobice - Grobize,Grobice,,Grobize,,,
Grota - Grotta,Grota,,Grotta,,,
Grožnjanska,Grožnjanska ulica,,Via Grisignana,,,
Grožnjanska ulica - Via Grisignana,Grožnjanska ulica,,Via Grisignana,,,
Grubišina ulica - Via Slavko Grubiša,Grubišina ulica,,Via Slavko Grubiša,,,
Grupija - Grupia,Grupija,,Grupia,,,
Gržići - Ghersici,Gržići,,Ghersici,,,
Gundulićeva ulica - Via Ivan Gundulić,Gundulićeva ulica,,Via Ivan Gundulić,,,
Gupčeva ulica - Via Matija Gubec,Gupčeva ulica,,Via Matija Gubec,,,
Guran (Stancija),Guran,,Guran,,Guran Stancija,
Heiningerova ulica - Via Ottomaro Heininger,Heiningerova ulica,,Via Ottomaro Heininger,,,
Herkulov prolaz - Vicolo Ercole,Herkulov prolaz,,Vicolo Ercole,,,
Hitrici - Hitrizzi,Hitrici,,Hitrizzi,,,
Hrastići - Crastici,Hrastići,,Crastici,,,
Hrastići - Hrastici,Hrastići,,Hrastici,,,
Hrastova ulica - Via del Rovere,Hrastova ulica,,Via del Rovere,,,
Humska,Humska ulica,,Via Colmo,,,
Humska ulica - Via Colmo,Humska ulica,,Via Colmo,,,
Hvarska,Hvarska ulica,,Via Lesina,,,Q6031
I. Matetića Ronjgova,Ulica Ivana Matetića Ronjgova,,Via Ivan Matetić Ronjgov,,,Q2594917
Ilirska ulica,Ilirska ulica,,Via dell' Ilirico,,,
Industrijska ulica - Via dell'industria,Industrijska ulica,,Via dell'industria,,,
Ipši - Ipsi,Ipši,,Ipsi,,,
Istarska,Istarska ulica,,Via dell' Istria,,,Q639912
Istarska ulica - Via dell' Istria,Istarska ulica,,Via dell' Istria,,,Q639912
Ivana G. Kovačića,Ulica Ivana Gorana Kovačića,,Via Ivan Goran Kovačić,,,Q835790
Ivana Gundulića,Ulica Ivana Gundulića,,Via Ivan Gundulić,,,Q317588
Ivančićeva ulica - Via Jakov Ivančić,Ivančićeva ulica,,Via Jakov Ivančić,,,
Ive Andrića,Ulica Ive Andrića,,Via Ivo Andrić,,,Q47561
Ive Lole Ribara,Ulica Ive Lole Ribara,,Via Ivo Lola Ribar,,,Q1265884
Iza kasarne - Dietro caserma,Iza kasarne,,Dietro caserma,,,
Jadranska,Jadranska ulica,,Via Adriatica,,,
Jadranska cesta - Strada dell'Adriatico,Jadranska cesta,,Strada dell'Adriatico,,,
Jadranska ulica - Via dell'Adriatico,Jadranska ulica,,Via dell'Adriatico,,,
Jadrini - Iadrini,Jadrini,,Iadrini,,,
Jadroni - Iadroni,Jadroni,,Iadroni,,,
Jakci - Pizzi,Jakci,,Pizzi,,,
Jakići Gorinji - Iachici,Jakići Gorinji,,Iachici,,,
Jakusi - Iacussi,Jakusi,,Iacussi,,,
Japodska ulica - Via dei Giapidi,Japodska ulica,,Via dei Giapidi,,,
Jarpetar - Iarpetar,Jarpetar,,Iarpetar,,,
Jasenovica - Frassineto,Jasenovica,,Frassineto,,,
Jeci - Iezzi,Jeci,,Iezzi,,,
Jedanaesta ulica - Undicesima Strada,Jedanaesta ulica,,Undicesima Strada,,,
Jelušićev prilaz - Via Ernest Jelušić,Jelušićev prilaz,,Via Ernest Jelušić,,,
Jeromelina ulica - Via Viktor Jeromela,Jeromelina ulica,,Via Viktor Jeromela,,,
Josipa Voltića,Ulica Josipa Voltića,,Via Josip Voltić,,,Q13639953
Jože Šurana,Ulica Jože Šurana,,Via Jože Šuran,,,Q12633846
Jožef Atile,Ulica József Atile,,,József Attila utca,,Q313359
Jugovci - Giugovzi,Jugovci,,Giugovzi,,,
Jugovci - Jugovzi,Jugovci,,Jugovzi,,,
Juki - Iuchi,Juki,,Iuchi,,,
Jurcanija - Iurzania,Jurcanija,,Iurzania,,,
Juricani - Giurizzani,Juricani,,Giurizzani,,,
Juricanija - Giurizzania,Juricanija,,Giurizzania,,,
Jurići - Iurici,Jurići,,Iurici,,,
Jurini - Iurini,Jurini,,Iurini,,,
Kacana (Stancija),Kacana,,Cassana,,Kacana Stancija,
Kagarot - Cagarot,Kagarot,,Cagarot,,,
Kakovići - Cacovici,Kakovići,,Cacovici,,,
Kalčeva ulica - Via Jurica Kalc,Kalčeva ulica,,Via Jurica Kalc,,,
